OID_,FID_grids,treecover2,x,y,ID,ORIG_FID,climate,biomes1,biomes2,NEP,CC
129,682,1,97.5000000,23.5000000,151,150,27,15,-9999,403.0000000,0.1500000
130,683,1,97.5000000,24.5000000,152,151,27,15,-9999,403.0000000,0.1500000
131,684,1,97.5000000,25.5000000,153,152,24,15,-9999,403.0000000,0.1500000
132,686,1,97.5000000,27.5000000,154,153,24,15,-9999,403.0000000,0.1500000
133,687,1,97.5000000,28.5000000,155,154,1,7,2,400.0000000,0.1500000
134,688,1,97.5000000,29.5000000,156,155,19,7,2,400.0000000,0.1500000
136,690,1,97.5000000,31.5000000,158,157,1,7,2,400.0000000,0.1500000
137,691,1,97.5000000,32.5000000,159,158,1,7,2,400.0000000,0.1500000
138,708,1,98.5000000,23.5000000,160,159,24,15,-9999,403.0000000,0.1500000
139,709,1,98.5000000,24.5000000,161,160,27,15,-9999,403.0000000,0.1500000
140,710,1,98.5000000,25.5000000,162,161,27,15,-9999,403.0000000,0.1500000
145,715,1,98.5000000,30.5000000,167,166,1,7,2,400.0000000,0.1500000
147,717,1,98.5000000,32.5000000,169,168,1,7,2,400.0000000,0.1500000
148,718,1,98.5000000,36.5000000,170,169,1,7,2,400.0000000,0.1500000
149,719,1,98.5000000,39.5000000,171,170,19,7,2,400.0000000,0.1500000
150,733,1,99.5000000,21.5000000,172,171,27,15,-9999,403.0000000,0.1500000
151,734,1,99.5000000,22.5000000,173,172,27,15,-9999,403.0000000,0.1500000
152,735,1,99.5000000,23.5000000,174,173,24,15,-9999,403.0000000,0.1500000
153,736,1,99.5000000,24.5000000,175,174,27,15,-9999,403.0000000,0.1500000
154,737,1,99.5000000,25.5000000,176,175,27,15,-9999,403.0000000,0.1500000
159,742,1,99.5000000,30.5000000,181,180,14,7,2,400.0000000,0.1500000
160,743,1,99.5000000,31.5000000,182,181,14,7,2,400.0000000,0.1500000
161,744,1,99.5000000,32.5000000,183,182,1,7,2,400.0000000,0.1500000
162,745,1,99.5000000,33.5000000,184,183,1,7,2,400.0000000,0.1500000
163,746,1,99.5000000,36.5000000,185,184,8,7,2,400.0000000,0.1500000
164,747,1,99.5000000,38.5000000,186,185,1,7,2,400.0000000,0.1500000
165,762,1,100.5000000,21.5000000,187,186,27,15,-9999,403.0000000,0.1500000
166,763,1,100.5000000,22.5000000,188,187,24,15,-9999,403.0000000,0.1500000
167,764,1,100.5000000,23.5000000,189,188,27,15,-9999,403.0000000,0.1500000
168,765,1,100.5000000,24.5000000,190,189,24,15,-9999,403.0000000,0.1500000
169,766,1,100.5000000,25.5000000,191,190,27,15,-9999,403.0000000,0.1500000
170,767,1,100.5000000,26.5000000,192,191,24,15,-9999,403.0000000,0.1500000
172,769,1,100.5000000,28.5000000,194,193,14,7,2,400.0000000,0.1500000
173,770,1,100.5000000,29.5000000,195,194,14,7,2,400.0000000,0.1500000
175,772,1,100.5000000,31.5000000,197,196,14,7,2,400.0000000,0.1500000
176,773,1,100.5000000,32.5000000,198,197,1,7,2,400.0000000,0.1500000
177,774,1,100.5000000,35.5000000,199,198,1,7,2,400.0000000,0.1500000
178,775,1,100.5000000,36.5000000,200,199,1,7,2,400.0000000,0.1500000
181,793,1,101.5000000,21.5000000,203,202,24,15,-9999,403.0000000,0.1500000
182,794,1,101.5000000,22.5000000,204,203,24,15,-9999,403.0000000,0.1500000
183,795,1,101.5000000,23.5000000,205,204,24,15,-9999,403.0000000,0.1500000
184,796,1,101.5000000,24.5000000,206,205,24,15,-9999,403.0000000,0.1500000
185,797,1,101.5000000,25.5000000,207,206,27,15,-9999,403.0000000,0.1500000
186,798,1,101.5000000,26.5000000,208,207,25,15,-9999,403.0000000,0.1500000
187,799,1,101.5000000,27.5000000,209,208,27,15,-9999,403.0000000,0.1500000
190,802,1,101.5000000,30.5000000,212,211,27,7,2,400.0000000,0.1500000
191,803,1,101.5000000,31.5000000,213,212,1,7,2,400.0000000,0.1500000
193,805,1,101.5000000,35.5000000,215,214,1,7,2,400.0000000,0.1500000
194,806,1,101.5000000,36.5000000,216,215,14,7,2,400.0000000,0.1500000
195,807,1,101.5000000,37.5000000,217,216,1,7,2,400.0000000,0.1500000
197,825,1,102.5000000,22.5000000,219,218,24,15,-9999,403.0000000,0.1500000
198,826,1,102.5000000,23.5000000,220,219,27,15,-9999,403.0000000,0.1500000
199,827,1,102.5000000,24.5000000,221,220,27,15,-9999,403.0000000,0.1500000
200,828,1,102.5000000,25.5000000,222,221,27,15,-9999,403.0000000,0.1500000
201,829,1,102.5000000,26.5000000,223,222,24,15,-9999,403.0000000,0.1500000
202,830,1,102.5000000,27.5000000,224,223,27,15,-9999,403.0000000,0.1500000
203,831,1,102.5000000,28.5000000,225,224,27,15,-9999,403.0000000,0.1500000
205,833,1,102.5000000,30.5000000,227,226,15,7,2,400.0000000,0.1500000
206,834,1,102.5000000,31.5000000,228,227,15,7,2,400.0000000,0.1500000
207,835,1,102.5000000,32.5000000,229,228,15,7,2,400.0000000,0.1500000
208,836,1,102.5000000,33.5000000,230,229,14,7,2,400.0000000,0.1500000
209,837,1,102.5000000,34.5000000,231,230,14,7,2,400.0000000,0.1500000
211,839,1,102.5000000,36.5000000,233,232,8,7,2,400.0000000,0.1500000
212,840,1,102.5000000,37.5000000,234,233,14,7,2,400.0000000,0.1500000
213,857,1,103.5000000,22.5000000,235,234,27,15,-9999,403.0000000,0.1500000
214,858,1,103.5000000,23.5000000,236,235,27,15,-9999,403.0000000,0.1500000
215,859,1,103.5000000,24.5000000,237,236,27,15,-9999,403.0000000,0.1500000
216,860,1,103.5000000,25.5000000,238,237,27,15,-9999,403.0000000,0.1500000
217,861,1,103.5000000,26.5000000,239,238,27,15,-9999,403.0000000,0.1500000
218,862,1,103.5000000,27.5000000,240,239,27,15,-9999,403.0000000,0.1500000
224,868,1,103.5000000,33.5000000,246,245,15,7,2,400.0000000,0.1500000
226,870,1,103.5000000,35.5000000,248,247,15,7,2,400.0000000,0.1500000
227,871,1,103.5000000,36.5000000,249,248,8,7,2,400.0000000,0.1500000
229,889,1,104.5000000,22.5000000,251,250,24,15,-9999,403.0000000,0.1500000
230,890,1,104.5000000,23.5000000,252,251,24,15,-9999,403.0000000,0.1500000
231,891,1,104.5000000,24.5000000,253,252,24,15,-9999,403.0000000,0.1500000
232,892,1,104.5000000,25.5000000,254,253,27,15,-9999,403.0000000,0.1500000
233,893,1,104.5000000,26.5000000,255,254,27,15,-9999,403.0000000,0.1500000
234,894,1,104.5000000,27.5000000,256,255,27,15,-9999,403.0000000,0.1500000
235,895,1,104.5000000,28.5000000,257,256,24,15,-9999,403.0000000,0.1500000
242,902,1,104.5000000,35.5000000,264,263,8,7,2,400.0000000,0.1500000
245,919,1,105.5000000,22.5000000,267,266,24,15,-9999,403.0000000,0.1500000
246,920,1,105.5000000,23.5000000,268,267,27,15,-9999,403.0000000,0.1500000
247,921,1,105.5000000,24.5000000,269,268,24,15,-9999,403.0000000,0.1500000
248,922,1,105.5000000,25.5000000,270,269,27,15,-9999,403.0000000,0.1500000
249,923,1,105.5000000,26.5000000,271,270,27,15,-9999,403.0000000,0.1500000
250,924,1,105.5000000,27.5000000,272,271,11,15,-9999,403.0000000,0.1500000
251,925,1,105.5000000,28.5000000,273,272,22,15,-9999,403.0000000,0.1500000
258,932,1,105.5000000,35.5000000,280,279,8,7,2,400.0000000,0.1500000
259,933,1,105.5000000,36.5000000,281,280,8,7,2,400.0000000,0.1500000
262,950,1,106.5000000,21.5000000,284,283,24,15,-9999,403.0000000,0.1500000
263,951,1,106.5000000,22.5000000,285,284,24,15,-9999,403.0000000,0.1500000
264,952,1,106.5000000,23.5000000,286,285,24,15,-9999,403.0000000,0.1500000
265,953,1,106.5000000,24.5000000,287,286,24,15,-9999,403.0000000,0.1500000
266,954,1,106.5000000,25.5000000,288,287,24,15,-9999,403.0000000,0.1500000
267,955,1,106.5000000,26.5000000,289,288,24,15,-9999,403.0000000,0.1500000
268,956,1,106.5000000,27.5000000,290,289,22,15,-9999,403.0000000,0.1500000
269,957,1,106.5000000,28.5000000,291,290,22,15,-9999,403.0000000,0.1500000
276,964,1,106.5000000,35.5000000,298,297,15,7,2,400.0000000,0.1500000
277,965,1,106.5000000,37.5000000,299,298,8,7,2,400.0000000,0.1500000
278,966,1,106.5000000,38.5000000,300,299,19,7,2,400.0000000,0.1500000
280,980,1,107.5000000,21.5000000,302,301,24,15,-9999,403.0000000,0.1500000
281,981,1,107.5000000,22.5000000,303,302,24,15,-9999,403.0000000,0.1500000
282,982,1,107.5000000,23.5000000,304,303,24,15,-9999,403.0000000,0.1500000
283,983,1,107.5000000,24.5000000,305,304,24,15,-9999,403.0000000,0.1500000
284,984,1,107.5000000,25.5000000,306,305,24,15,-9999,403.0000000,0.1500000
285,985,1,107.5000000,26.5000000,307,306,22,15,-9999,403.0000000,0.1500000
286,986,1,107.5000000,27.5000000,308,307,22,15,-9999,403.0000000,0.1500000
287,987,1,107.5000000,28.5000000,309,308,22,15,-9999,403.0000000,0.1500000
288,988,1,107.5000000,29.5000000,310,309,22,15,-9999,403.0000000,0.1500000
295,995,1,107.5000000,36.5000000,317,316,8,7,2,400.0000000,0.1500000
299,1009,1,108.5000000,22.5000000,321,320,24,15,-9999,403.0000000,0.1500000
300,1010,1,108.5000000,23.5000000,322,321,22,15,-9999,403.0000000,0.1500000
301,1011,1,108.5000000,24.5000000,323,322,24,15,-9999,403.0000000,0.1500000
302,1012,1,108.5000000,25.5000000,324,323,22,15,-9999,403.0000000,0.1500000
303,1013,1,108.5000000,26.5000000,325,324,22,15,-9999,403.0000000,0.1500000
304,1014,1,108.5000000,27.5000000,326,325,22,15,-9999,403.0000000,0.1500000
305,1015,1,108.5000000,28.5000000,327,326,22,15,-9999,403.0000000,0.1500000
306,1016,1,108.5000000,29.5000000,328,327,22,15,-9999,403.0000000,0.1500000
307,1017,1,108.5000000,30.5000000,329,328,22,15,-9999,403.0000000,0.1500000
314,1024,1,108.5000000,37.5000000,336,335,15,7,2,400.0000000,0.1500000
315,1025,1,108.5000000,40.5000000,337,336,19,7,2,400.0000000,0.1500000
317,1036,1,109.5000000,18.5000000,339,338,30,15,-9999,403.0000000,0.1500000
318,1037,1,109.5000000,19.5000000,340,339,30,15,-9999,403.0000000,0.1500000
321,1040,1,109.5000000,22.5000000,343,342,22,15,-9999,403.0000000,0.1500000
322,1041,1,109.5000000,23.5000000,344,343,22,15,-9999,403.0000000,0.1500000
323,1042,1,109.5000000,24.5000000,345,344,22,15,-9999,403.0000000,0.1500000
324,1043,1,109.5000000,25.5000000,346,345,22,15,-9999,403.0000000,0.1500000
325,1044,1,109.5000000,26.5000000,347,346,22,15,-9999,403.0000000,0.1500000
326,1045,1,109.5000000,27.5000000,348,347,22,15,-9999,403.0000000,0.1500000
327,1046,1,109.5000000,28.5000000,349,348,22,15,-9999,403.0000000,0.1500000
328,1047,1,109.5000000,29.5000000,350,349,24,15,-9999,403.0000000,0.1500000
329,1048,1,109.5000000,30.5000000,351,350,22,15,-9999,403.0000000,0.1500000
336,1055,1,109.5000000,37.5000000,358,357,8,7,2,400.0000000,0.1500000
337,1056,1,109.5000000,38.5000000,359,358,8,7,2,400.0000000,0.1500000
338,1057,1,109.5000000,39.5000000,360,359,8,7,2,400.0000000,0.1500000
339,1058,1,109.5000000,40.5000000,361,360,8,7,2,400.0000000,0.1500000
341,1068,1,110.5000000,19.5000000,363,362,29,15,-9999,403.0000000,0.1500000
343,1070,1,110.5000000,21.5000000,365,364,22,15,-9999,403.0000000,0.1500000
344,1071,1,110.5000000,22.5000000,366,365,22,15,-9999,403.0000000,0.1500000
345,1072,1,110.5000000,23.5000000,367,366,22,15,-9999,403.0000000,0.1500000
346,1073,1,110.5000000,24.5000000,368,367,22,15,-9999,403.0000000,0.1500000
347,1074,1,110.5000000,25.5000000,369,368,22,15,-9999,403.0000000,0.1500000
348,1075,1,110.5000000,26.5000000,370,369,22,15,-9999,403.0000000,0.1500000
349,1076,1,110.5000000,27.5000000,371,370,22,15,-9999,403.0000000,0.1500000
350,1077,1,110.5000000,28.5000000,372,371,22,15,-9999,403.0000000,0.1500000
351,1078,1,110.5000000,29.5000000,373,372,22,15,-9999,403.0000000,0.1500000
352,1079,1,110.5000000,30.5000000,374,373,22,15,-9999,403.0000000,0.1500000
360,1087,1,110.5000000,38.5000000,382,381,20,7,2,400.0000000,0.1500000
361,1088,1,110.5000000,40.5000000,383,382,8,11,2,133.0000000,0.1500000
363,1099,1,111.5000000,22.5000000,385,384,24,15,-9999,403.0000000,0.1500000
364,1100,1,111.5000000,23.5000000,386,385,22,15,-9999,403.0000000,0.1500000
365,1101,1,111.5000000,24.5000000,387,386,22,15,-9999,403.0000000,0.1500000
366,1102,1,111.5000000,25.5000000,388,387,22,15,-9999,403.0000000,0.1500000
367,1103,1,111.5000000,26.5000000,389,388,22,15,-9999,403.0000000,0.1500000
368,1104,1,111.5000000,27.5000000,390,389,22,15,-9999,403.0000000,0.1500000
369,1105,1,111.5000000,28.5000000,391,390,22,15,-9999,403.0000000,0.1500000
370,1106,1,111.5000000,29.5000000,392,391,22,15,-9999,403.0000000,0.1500000
371,1107,1,111.5000000,30.5000000,393,392,22,15,-9999,403.0000000,0.1500000
379,1115,1,111.5000000,38.5000000,401,400,15,7,2,400.0000000,0.1500000
380,1116,1,111.5000000,39.5000000,402,401,8,7,2,400.0000000,0.1500000
381,1117,1,111.5000000,40.5000000,403,402,8,11,2,133.0000000,0.1500000
382,1118,1,111.5000000,41.5000000,404,403,8,11,2,133.0000000,0.1500000
384,1127,1,112.5000000,22.5000000,406,405,24,15,-9999,403.0000000,0.1500000
385,1128,1,112.5000000,23.5000000,407,406,22,15,-9999,403.0000000,0.1500000
386,1129,1,112.5000000,24.5000000,408,407,22,15,-9999,403.0000000,0.1500000
387,1130,1,112.5000000,25.5000000,409,408,22,15,-9999,403.0000000,0.1500000
388,1131,1,112.5000000,26.5000000,410,409,22,15,-9999,403.0000000,0.1500000
401,1144,1,112.5000000,39.5000000,423,422,15,11,2,133.0000000,0.1500000
402,1145,1,112.5000000,40.5000000,424,423,8,11,2,133.0000000,0.1500000
403,1146,1,112.5000000,41.5000000,425,424,8,11,2,133.0000000,0.1500000
405,1155,1,113.5000000,22.5000000,427,426,24,15,-9999,403.0000000,0.1500000
406,1156,1,113.5000000,23.5000000,428,427,24,15,-9999,403.0000000,0.1500000
407,1157,1,113.5000000,24.5000000,429,428,22,15,-9999,403.0000000,0.1500000
408,1158,1,113.5000000,25.5000000,430,429,22,15,-9999,403.0000000,0.1500000
409,1159,1,113.5000000,26.5000000,431,430,22,15,-9999,403.0000000,0.1500000
410,1160,1,113.5000000,27.5000000,432,431,22,15,-9999,403.0000000,0.1500000
411,1161,1,113.5000000,28.5000000,433,432,22,15,-9999,403.0000000,0.1500000
423,1173,1,113.5000000,40.5000000,445,444,15,11,2,133.0000000,0.1500000
426,1183,1,114.5000000,23.5000000,448,447,24,15,-9999,403.0000000,0.1500000
427,1184,1,114.5000000,24.5000000,449,448,22,15,-9999,403.0000000,0.1500000
428,1185,1,114.5000000,25.5000000,450,449,22,15,-9999,403.0000000,0.1500000
429,1186,1,114.5000000,26.5000000,451,450,22,15,-9999,403.0000000,0.1500000
430,1187,1,114.5000000,27.5000000,452,451,22,15,-9999,403.0000000,0.1500000
431,1188,1,114.5000000,28.5000000,453,452,22,15,-9999,403.0000000,0.1500000
443,1200,1,114.5000000,40.5000000,465,464,8,11,2,133.0000000,0.1500000
444,1201,1,114.5000000,41.5000000,466,465,15,11,2,133.0000000,0.1500000
446,1209,1,115.5000000,23.5000000,468,467,22,15,-9999,403.0000000,0.1500000
447,1210,1,115.5000000,24.5000000,469,468,22,15,-9999,403.0000000,0.1500000
448,1211,1,115.5000000,25.5000000,470,469,22,15,-9999,403.0000000,0.1500000
449,1212,1,115.5000000,26.5000000,471,470,22,15,-9999,403.0000000,0.1500000
450,1213,1,115.5000000,27.5000000,472,471,22,15,-9999,403.0000000,0.1500000
464,1227,1,115.5000000,41.5000000,486,485,15,11,2,133.0000000,0.1500000
466,1235,1,116.5000000,23.5000000,488,487,22,15,-9999,403.0000000,0.1500000
467,1236,1,116.5000000,24.5000000,489,488,22,15,-9999,403.0000000,0.1500000
468,1237,1,116.5000000,25.5000000,490,489,22,15,-9999,403.0000000,0.1500000
469,1238,1,116.5000000,26.5000000,491,490,22,15,-9999,403.0000000,0.1500000
470,1239,1,116.5000000,27.5000000,492,491,22,15,-9999,403.0000000,0.1500000
485,1254,1,116.5000000,42.5000000,507,506,15,11,2,133.0000000,0.1500000
486,1255,1,116.5000000,43.5000000,508,507,8,11,2,133.0000000,0.1500000
488,1262,1,117.5000000,24.5000000,510,509,22,15,-9999,403.0000000,0.1500000
489,1263,1,117.5000000,25.5000000,511,510,22,15,-9999,403.0000000,0.1500000
490,1264,1,117.5000000,26.5000000,512,511,22,15,-9999,403.0000000,0.1500000
491,1265,1,117.5000000,27.5000000,513,512,22,15,-9999,403.0000000,0.1500000
508,1282,1,117.5000000,44.5000000,530,529,15,11,2,131.0000000,0.1600000
510,1291,1,118.5000000,25.5000000,534,533,22,15,-9999,403.0000000,0.1500000
511,1292,1,118.5000000,26.5000000,535,534,22,15,-9999,403.0000000,0.1500000
512,1293,1,118.5000000,27.5000000,536,535,22,15,-9999,403.0000000,0.1500000
513,1294,1,118.5000000,28.5000000,537,536,22,15,-9999,403.0000000,0.1500000
528,1309,1,118.5000000,43.5000000,552,551,8,11,2,133.0000000,0.1500000
529,1310,1,118.5000000,44.5000000,553,552,14,11,2,131.0000000,0.1600000
530,1311,1,118.5000000,46.5000000,554,553,15,11,2,131.0000000,0.1600000
532,1323,1,119.5000000,25.5000000,558,557,22,15,-9999,403.0000000,0.1500000
533,1324,1,119.5000000,26.5000000,559,558,22,15,-9999,403.0000000,0.1500000
534,1325,1,119.5000000,27.5000000,560,559,22,15,-9999,403.0000000,0.1500000
535,1326,1,119.5000000,28.5000000,561,560,22,15,-9999,403.0000000,0.1500000
548,1339,1,119.5000000,43.5000000,574,573,8,11,2,133.0000000,0.1500000
549,1340,1,119.5000000,44.5000000,575,574,15,11,2,131.0000000,0.1600000
550,1341,1,119.5000000,45.5000000,576,575,15,11,2,131.0000000,0.1600000
551,1342,1,119.5000000,46.5000000,577,576,15,11,2,131.0000000,0.1600000
552,1356,1,120.5000000,22.5000000,583,582,30,15,-9999,403.0000000,0.1500000
553,1357,1,120.5000000,23.5000000,584,583,24,15,-9999,403.0000000,0.1500000
556,1360,1,120.5000000,27.5000000,587,586,22,15,-9999,403.0000000,0.1500000
557,1361,1,120.5000000,28.5000000,588,587,22,15,-9999,403.0000000,0.1500000
558,1362,1,120.5000000,29.5000000,589,588,22,15,-9999,403.0000000,0.1500000
571,1375,1,120.5000000,44.5000000,602,601,8,11,2,131.0000000,0.1600000
572,1376,1,120.5000000,45.5000000,603,602,15,11,2,131.0000000,0.1600000
573,1377,1,120.5000000,46.5000000,604,603,15,11,2,131.0000000,0.1600000
575,1395,1,121.5000000,24.5000000,613,612,22,15,-9999,403.0000000,0.1500000
578,1398,1,121.5000000,28.5000000,616,615,22,15,-9999,403.0000000,0.1500000
590,1410,1,121.5000000,44.5000000,628,627,8,11,2,131.0000000,0.1600000
591,1411,1,121.5000000,45.5000000,629,628,15,11,2,131.0000000,0.1600000
592,1412,1,121.5000000,46.5000000,630,629,15,11,2,131.0000000,0.1600000
601,1435,1,122.5000000,44.5000000,646,645,8,11,2,131.0000000,0.1600000
602,1436,1,122.5000000,46.5000000,647,646,20,11,2,131.0000000,0.1600000
608,1452,1,123.5000000,45.5000000,660,659,8,11,2,131.0000000,0.1600000
609,1453,1,123.5000000,46.5000000,661,660,20,3,2,131.0000000,0.1600000
616,1471,1,124.5000000,46.5000000,675,674,20,3,2,131.0000000,0.1600000
623,1492,1,125.5000000,46.5000000,689,688,20,11,2,131.0000000,0.1600000
629,1514,1,126.5000000,46.5000000,702,701,20,9,6,131.0000000,0.1600000
635,1537,1,127.5000000,46.5000000,714,713,15,9,6,131.0000000,0.1600000
641,1563,1,128.5000000,46.5000000,725,724,15,9,6,131.0000000,0.1600000
654,1625,1,131.5000000,45.5000000,746,745,15,3,2,131.0000000,0.1600000
656,1642,1,132.5000000,45.5000000,749,748,15,3,2,131.0000000,0.1600000
657,1643,1,132.5000000,46.5000000,750,749,20,3,2,131.0000000,0.1600000
658,1660,1,133.5000000,45.5000000,752,751,15,3,2,131.0000000,0.1600000
662,357,1,82.5000000,47.5000000,44,43,13,11,2,133.0000000,0.1500000
663,383,1,83.5000000,47.5000000,51,50,13,11,2,133.0000000,0.1500000
665,385,1,83.5000000,49.5000000,53,52,13,11,2,133.0000000,0.1500000
666,406,1,84.5000000,47.5000000,59,58,13,11,2,133.0000000,0.1500000
668,408,1,84.5000000,49.5000000,61,60,13,11,2,133.0000000,0.1500000
669,429,1,85.5000000,47.5000000,68,67,8,7,2,400.0000000,0.1500000
671,431,1,85.5000000,49.5000000,70,69,5,11,2,133.0000000,0.1500000
674,454,1,86.5000000,49.5000000,80,79,1,11,2,133.0000000,0.1500000
677,474,1,87.5000000,49.5000000,89,88,1,7,2,400.0000000,0.1500000
679,491,1,88.5000000,48.5000000,95,94,5,7,2,400.0000000,0.1500000
682,529,1,90.5000000,47.5000000,109,108,14,7,2,400.0000000,0.1500000
